source target	status
LASS2 RNF130	non_indicated
LASS2 ADAMTS4	non_indicated
RGS7BP ATP2B1	non_indicated
RGS7BP EPHA4	non_indicated
RGS7BP CDH8	non_indicated
RGS7BP AF019618	non_indicated
RGS7BP LONRF2	non_indicated
RGS7BP GABRA1	non_indicated
RGS7BP TSPAN5	non_indicated
RGS7BP BMPR2	non_indicated
RGS7BP NM_024969	non_indicated
RGS7BP CREG2	non_indicated
RGS7BP ANKH	non_indicated
RGS7BP ANKRD20B	non_indicated
Contig19733_RC Contig40149_RC	non_indicated
Contig19733_RC AF085861	non_indicated
Contig19733_RC AF086283	non_indicated
Contig19733_RC PTBP2	non_indicated
ARL5B HSP90B1	non_indicated
ARL5B NM_032285	non_indicated
PTPN3 KRT81	non_indicated
PTPN3 XM_209601	non_indicated
PTPN3 BC040634	non_indicated
DCAMKL1 ATP1B1	non_indicated
DCAMKL1 SERPINI1	non_indicated
DCAMKL1 SMPX	non_indicated
DCAMKL1 Contig52681_RC	non_indicated
DCAMKL1 TBR1	non_indicated
DCAMKL1 C19orf30	non_indicated
DTNA BC001980	non_indicated
STEAP3 TUBAL3	non_indicated
STEAP3 ASF1B	non_indicated
CH25H CCL8	non_indicated
SBNO2 FAM70B	non_indicated
SBNO2 TMEM149	non_indicated
SBNO2 LDLR	non_indicated
PCMT1 STMN2	non_indicated
PCMT1 HSS00264213	non_indicated
BHLHB2 ANKRD37	non_indicated
CRYM ZCCHC12	non_indicated
CRYM SLC4A8	non_indicated
CRYM BC040975	non_indicated
CRYM hCT16112.2	non_indicated
TMED10 BTG3	non_indicated
TMED10 NEDD1	non_indicated
TMED10 X97444	non_indicated
TMED10 CFC1	non_indicated
TMED10 REEP3	non_indicated
TMED10 GALNT9	non_indicated
TMED10 TCERG1L	non_indicated
TMED10 C14orf147	non_indicated
TMED10 CLN5	non_indicated
TMED10 HIST2H3A	non_indicated
SUSD4 SIDT1	non_indicated
ST18 COL4A5	non_indicated
ST18 C20orf169	non_indicated
ST18 C10orf128	non_indicated
ST18 LGR5	non_indicated
ST18 PXK	non_indicated
ST18 BACE1	non_indicated
ST18 AF088013	non_indicated
ST18 AK056724	non_indicated
ST18 hCT1970992.1	non_indicated
DIO2 Contig38388_RC	non_indicated
DIO2 HSS00250841	non_indicated
AL049279 C21orf34	non_indicated
AL049279 AK023526	non_indicated
AL049279 X75685	non_indicated
AL049279 MARCH6	non_indicated
AL049279 hCT1769654	non_indicated
ADAMTS1 Contig4595	non_indicated
Contig42161_RC BC003629	non_indicated
KCNK1 DLEU7	non_indicated
DMBT1 FAM77C	non_indicated
DMBT1 GREM1	non_indicated
PRDX6 SLC16A9	non_indicated
PRDX6 STK33	non_indicated
PRDX6 BCAR3	non_indicated
PRDX6 AK092579	non_indicated
CCDC19 HOXB5	non_indicated
CCDC19 ENST00000278205	non_indicated
COL3A1 LUM	non_indicated
COL3A1 PDE5A	non_indicated
COL3A1 ASPN	non_indicated
COL3A1 MFAP4	non_indicated
COL3A1 NM_153225	non_indicated
HRSP12 ACBD7	non_indicated
IGHA1 HSS00371905	non_indicated
KCNQ1OT1 HSS00327746	non_indicated
RASAL1 TMEM151	non_indicated
RBM9 NM_006477	non_indicated
RBM9 CCDC87	non_indicated
RBM9 TUBB2A	non_indicated
RBM9 LRTM2	non_indicated
RBM9 BC041476	non_indicated
Contig45549_RC CKMT2	non_indicated
Contig45549_RC ZMYND12	non_indicated
PLP1 SCD	non_indicated
PLP1 APBB2	non_indicated
ITM2A ABCG2	non_indicated
LIFR Contig44269_RC	non_indicated
SLC25A27 C10orf11	non_indicated
AL049449 CLK1	non_indicated
NM_014392 SNURF	non_indicated
NM_014392 BC032017	non_indicated
MYBL2 DLG7	non_indicated
MYBL2 DEPDC1	non_indicated
MYBL2 TFCP2L1	non_indicated
MYBL2 ASCC3	non_indicated
Contig18967_RC AK000797	non_indicated
Contig18967_RC MEG8	non_indicated
Contig14284_RC AY007089	non_indicated
Contig14284_RC HSS00020549	non_indicated
MAPK8 DLK1	non_indicated
GPR37 MOBKL2B	non_indicated
GPR37 HSPA2	non_indicated
GPR37 NM_175922	non_indicated
GPR37 MAG	non_indicated
MMP23B hCT31701.2	non_indicated
ADAM12 MMP14	non_indicated
PLAC8 GPR65	non_indicated
Contig40744_RC ZFHX1B	non_indicated
Contig40744_RC CCDC99	non_indicated
Contig40744_RC HSS00041439	non_indicated
Contig40744_RC HSS00382992	non_indicated
LUM HMCN1	non_indicated
VIM RSE_00000602448	non_indicated
PDE1A RUFY3	non_indicated
ZNF638 Contig29016_RC	non_indicated
ZNF638 TRPM7	non_indicated
ZNF638 NM_032599	non_indicated
Contig32990_RC Contig36928	non_indicated
Contig32990_RC AK024927	non_indicated
MEF2C HLF	non_indicated
Contig8977_RC NT5C	non_indicated
Contig8977_RC NM_032763	non_indicated
Contig8977_RC JRKL	non_indicated
Contig8977_RC AL390163	non_indicated
CDKN3 IGF2BP3	non_indicated
CDKN3 FMO3	non_indicated
BCAT1 SLC38A1	non_indicated
Contig26278_RC TFEC	non_indicated
FOLH1 CFTR	non_indicated
SACS SMARCA3	non_indicated
SACS RAB12	non_indicated
SACS PLEKHA1	non_indicated
MCF2 CADPS	non_indicated
SHE AK056136	non_indicated
RASSF2 OLIG2	non_indicated
RASSF2 EDG2	non_indicated
RASSF2 FGF1	non_indicated
TFF2 OPRD1	non_indicated
TFF2 TSPAN18	non_indicated
TFF2 HSS00216107	non_indicated
GABBR2 SULT4A1	non_indicated
MGP Contig25944_RC	non_indicated
MGP NM_014890	non_indicated
MGP HSS00178724	non_indicated
Contig34504_RC ACSL6	non_indicated
Contig34504_RC AL137425	non_indicated
CD302 EPS8	non_indicated
CD302 Contig57822_RC	non_indicated
CD302 Contig56026_RC	non_indicated
CD302 LPP	non_indicated
CD302 CYBRD1	non_indicated
Contig46178_RC AL049450	non_indicated
GNG2 HIVEP2	non_indicated
GNG2 C1QL3	non_indicated
GNG2 SYNJ1	non_indicated
GNG2 UBL4A	non_indicated
Contig48208_RC PFKFB3	non_indicated
Contig48208_RC LYN	non_indicated
Contig48208_RC SLC43A3	non_indicated
Contig48208_RC PDPN	non_indicated
DYNLT3 Contig57230_RC	non_indicated
DYNLT3 NDUFA5	non_indicated
DYNLT3 MAP9	non_indicated
DSTN DCDC2	non_indicated
Contig48799_RC MYBL1	non_indicated
Contig48799_RC MLL3	non_indicated
Contig48799_RC ATF1	non_indicated
Contig48799_RC FAM76B	non_indicated
HTRA1 S100A1	non_indicated
HTRA1 DIRC2	non_indicated
HTRA1 ACSS1	non_indicated
LCP1 ITGB2	non_indicated
LCP1 PLCG2	non_indicated
LCP1 C1QA	non_indicated
LCP1 NCF4	non_indicated
TPM2 MYL9	non_indicated
HPSE HSS00057998	non_indicated
Contig27391_RC CLEC9A	non_indicated
