source	interaction_type	target	status
SALL1	BN	DLL1	non_indicated
SALL1	BN	SH3PXD2B	non_indicated
FAM125B	BN	TMEM63A	non_indicated
FAM125B	BN	DAAM2	non_indicated
FAM125B	BN	HSS00093010	non_indicated
C3orf14	BN	HSS00183094	non_indicated
TF	BN	CNTNAP4	non_indicated
TF	BN	RBP7	non_indicated
TF	BN	ATP10B	non_indicated
TF	BN	AK056534	non_indicated
TF	BN	hCT1782973.2	non_indicated
TF	BN	hCT2321309	non_indicated
RETN	BN	HIST1H2AG	non_indicated
UBE2E3	BN	YEATS4	non_indicated
UBE2E3	BN	TMEM157	non_indicated
UBE2E3	BN	UBE2E4P	non_indicated
ARHGDIB	BN	PLCG2	non_indicated
HSPA1A	BN	HSPB1	non_indicated
HSPA1A	BN	CHORDC1	non_indicated
HSPA1A	BN	HSS00299206	non_indicated
HSPA1A	BN	HSS00142930	non_indicated
TAGLN3	BN	DRP2	non_indicated
TAGLN3	BN	RABGAP1L	non_indicated
PRKAR2B	BN	XM_166919	non_indicated
Contig21406_RC	BN	EMCN	non_indicated
RAN	BN	RNF150	non_indicated
CHST1	BN	ADRB1	non_indicated
CHST1	BN	IER5	non_indicated
CHST1	BN	GLRX	non_indicated
CHST1	BN	RAB11FIP5	non_indicated
BAG3	BN	HMOX1	non_indicated
BAG3	BN	Contig44269_RC	non_indicated
BAG3	BN	GLI2	non_indicated
BAG3	BN	NEUROD6	non_indicated
BAG3	BN	3-Mar	non_indicated
BAG3	BN	HES5	non_indicated
PIPOX	BN	CLDN10	non_indicated
PIPOX	BN	HES6	non_indicated
SCG3	BN	TSPAN7	non_indicated
SCG3	BN	AK001423	non_indicated
SCG3	BN	NM_032495	non_indicated
SCG3	BN	F8	non_indicated
FTL	BN	hCT1648148.3	non_indicated
FTL	BN	hCT2314299	non_indicated
TEAD4	BN	EPHA2	non_indicated
Contig40165_RC	BN	TCAP	non_indicated
Contig40165_RC	BN	RAD18	non_indicated
Contig52214_RC	BN	RBPMS	non_indicated
Contig52214_RC	BN	GIMAP5	non_indicated
Contig52214_RC	BN	TIMP3	non_indicated
Contig52214_RC	BN	FOXD1	non_indicated
Contig52214_RC	BN	C1orf78	non_indicated
Contig52214_RC	BN	NEDD9	non_indicated
Contig52214_RC	BN	PDGFRB	non_indicated
ATP6V1A	BN	VDAC3	non_indicated
PKIA	BN	GDF10	non_indicated
CD109	BN	SLC7A11	non_indicated
CD109	BN	SSPN	non_indicated
CD109	BN	SPATA22	non_indicated
CD109	BN	PCDHB4	non_indicated
Contig38542_RC	BN	CMYA5	non_indicated
Contig23338_RC	BN	Contig31127_RC	non_indicated
PPP1R1C	BN	C21orf82	non_indicated
HMOX1	BN	DENND2D	non_indicated
HMOX1	BN	TGIF	non_indicated
ERBB2	BN	RARRES2	non_indicated
ERBB2	BN	PAPLN	non_indicated
SIX4	BN	Contig26835_RC	non_indicated
SIX4	BN	BMP4	non_indicated
MORF4L2	BN	TRAPPC2	non_indicated
MORF4L2	BN	EIF4A2	non_indicated
GMNN	BN	BC029166	non_indicated
GMNN	BN	SLC14A1	non_indicated
ARMETL1	BN	Contig43527	non_indicated
ARMETL1	BN	CAPN9	non_indicated
ARMETL1	BN	HSS00342343	non_indicated
Contig45911_RC	BN	KCNMB4	non_indicated
AF038190	BN	RAE1	non_indicated
ENPP2	BN	PLP1	non_indicated
ENPP2	BN	RP11-35N6.1	non_indicated
ENPP2	BN	CCNE2	non_indicated
ENPP2	BN	FRMD4B	non_indicated
ENPP2	BN	SLAIN1	non_indicated
ENPP2	BN	PDE8A	non_indicated
NEUROD1	BN	CNGB1	non_indicated
Contig35884_RC	BN	HSS00256627	non_indicated
ZBTB20	BN	Contig41762	non_indicated
ZBTB20	BN	ZHX2	non_indicated
PDIA6	BN	HSP90B1	non_indicated
PDIA6	BN	HSPD1	non_indicated
PDIA6	BN	ARMET	non_indicated
DSCR1L1	BN	MAP1B	non_indicated
DSCR1L1	BN	MAGEL2	non_indicated
EPB49	BN	EEF1A2	non_indicated
EPB49	BN	PRKAR1B	non_indicated
EPB49	BN	AL713744	non_indicated
EPB49	BN	FBXL16	non_indicated
EPB49	BN	NM_015526	non_indicated
EPB49	BN	HSS00031488	non_indicated
CLIC5	BN	ART5	non_indicated
STON2	BN	MRVI1	non_indicated
STON2	BN	GPT2	non_indicated
STON2	BN	GPR177	non_indicated
STON2	BN	CGNL1	non_indicated
STON2	BN	SLC14A1	non_indicated
PROCR	BN	DKK2	non_indicated
PROCR	BN	Contig50368	non_indicated
Contig41905_RC	BN	ZFAND5	non_indicated
SKAP2	BN	OLFM3	non_indicated
STC1	BN	C10orf10	non_indicated
AGT	BN	C10orf65	non_indicated
AGT	BN	FADS1	non_indicated
AGT	BN	PHKG1	non_indicated
LARP6	BN	AK023748	non_indicated
LARP6	BN	NRIP2	non_indicated
LRRC54	BN	AF086149	non_indicated
EDG1	BN	SLC25A18	non_indicated
KCNJ12	BN	RAB26	non_indicated
KCNJ12	BN	AK024229	non_indicated
MDFI	BN	CTSZ	non_indicated
Contig29807_RC	BN	OR5B3	non_indicated
Contig29807_RC	BN	X69637	non_indicated
Contig29807_RC	BN	XM_211174	non_indicated
CENTG1	BN	PLXNA1	non_indicated
CENTG1	BN	MEG3	non_indicated
CENTG1	BN	KIAA1957	non_indicated
CENTG1	BN	MEIS3	non_indicated
CENTG1	BN	SCRT1	non_indicated
CENTG1	BN	SLC25A22	non_indicated
CENTG1	BN	BRUNOL5	non_indicated
CENTG1	BN	LRRN6A	non_indicated
CENTG1	BN	NM_024888	non_indicated
PPIC	BN	TMEM45A	non_indicated
PPIC	BN	PERP	non_indicated
F13A1	BN	EBI2	non_indicated
F13A1	BN	CLEC10A	non_indicated
F13A1	BN	TGFBI	non_indicated
LRRC32	BN	ELOVL7	non_indicated
LRRC32	BN	STARD8	non_indicated
HRASLS3	BN	VRK2	non_indicated
HRASLS3	BN	CYP27A1	non_indicated
LMO3	BN	RAN	non_indicated
LMO3	BN	Contig43449_RC	non_indicated
LMO3	BN	Contig40464_RC	non_indicated
LMO3	BN	FZD3	non_indicated
LMO3	BN	ABAT	non_indicated
LMO3	BN	PTPLAD1	non_indicated
LMO3	BN	CTNNA2	non_indicated
LMO3	BN	NNT	non_indicated
LMO3	BN	NM_017933	non_indicated
LMO3	BN	Contig43688_RC	non_indicated
