Gene	Status
ADNP2	non_indicated
RPA3	non_indicated
C1D	non_indicated
TENC1	non_indicated
CXorf40A	non_indicated
CXorf40B	non_indicated
COQ9	non_indicated
NDUFS5	non_indicated
NDUFS6	non_indicated
NDUFS7	non_indicated
C1S	non_indicated
C1R	non_indicated
AL117451	non_indicated
UFD1L	non_indicated
ILF3	non_indicated
ILF2	non_indicated
HBB	non_indicated
CHMP2B	non_indicated
CHMP2A	non_indicated
ATP9B	non_indicated
ATP9A	non_indicated
RREB1	non_indicated
TPX2	non_indicated
DENND2A	non_indicated
DENND2D	non_indicated
WWC3	non_indicated
PPT1	non_indicated
RABAC1	non_indicated
INPP4B	non_indicated
INPP4A	non_indicated
MICAL1	non_indicated
MICAL2	non_indicated
MICAL3	non_indicated
PHC1	non_indicated
PHC2	non_indicated
MFAP3L	non_indicated
STAT3	non_indicated
PRF1	non_indicated
MGMT	non_indicated
H2AFV	non_indicated
AV720803	non_indicated
H2AFX	non_indicated
H2AFY	non_indicated
H2AFZ	non_indicated
RNF8	non_indicated
RNF6	non_indicated
RNF7	non_indicated
RNF5	non_indicated
NCAPG2	non_indicated
C20orf27	non_indicated
CLTA	non_indicated
CLTC	non_indicated
CLTB	non_indicated
TMEM59L	non_indicated
NGLY1	non_indicated
ADRBK1	non_indicated
DPEP2	non_indicated
DPEP3	non_indicated
NMD3	non_indicated
AL157484	non_indicated
PCOLCE	non_indicated
ISCA1	non_indicated
FAM118A	non_indicated
ZCCHC24	non_indicated
RECQL	non_indicated
SRPRB	non_indicated
PRSS2	non_indicated
CD300A	non_indicated
PRKRIR	non_indicated
BAIAP2	non_indicated
ACTR5	non_indicated
ACTR3	non_indicated
ACTR2	non_indicated
CLUAP1	non_indicated
RANGRF	non_indicated
KIAA0746	non_indicated
PDE3B	non_indicated
IL10RA	non_indicated
CNR1	non_indicated
GNL3L	non_indicated
MAGEC2	non_indicated
GP1BB	non_indicated
RAPGEFL1	non_indicated
GTDC1	non_indicated
NP	non_indicated
ALDH18A1	non_indicated
HHEX	non_indicated
PTPRU	non_indicated
TGS1	non_indicated
KHDRBS3	non_indicated
C1orf77	non_indicated
ANKS1A	non_indicated
IDUA	non_indicated
PPOX	non_indicated
GLB1	non_indicated
PITPNM1	non_indicated
NKX3-1	non_indicated
BF510692	non_indicated
ADAM10	non_indicated
ADAM12	non_indicated
ADAM15	non_indicated
ADAM17	non_indicated
ADAM19	non_indicated
HAGH	non_indicated
CPNE1	non_indicated
CPNE7	non_indicated
PTPRE	non_indicated
SFRS14	non_indicated
PYCARD	non_indicated
PTPRB	non_indicated
DNMT3B	non_indicated
PTPRA	non_indicated
AAK1	non_indicated
GDE1	non_indicated
SNRPB	non_indicated
SNRPA	non_indicated
SNRPF	non_indicated
SHANK2	non_indicated
SNRPE	non_indicated
SFRS18	non_indicated
AI983904	non_indicated
ZDHHC17	non_indicated
ZDHHC11	non_indicated
ZDHHC13	non_indicated
PCSK2	non_indicated
PCSK1	non_indicated
PCSK6	non_indicated
PCSK5	non_indicated
HIPK3	non_indicated
HIPK2	non_indicated
HIPK1	non_indicated
