Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
MORF_TFDP2	4/231	0.27481488854032	0.74151046120556	-0.55672274943324	0.16649685098014	FNTB;NF1;ADCY3;IL16
MODULE_3	6/385	0.28067523879206	0.74151046120556	-0.5554551225056	0.16611774685356	UGCG;EBP;GMFB;STAU1;SMURF2;DHX9
MORF_MYST2	2/68	0.1872962154813	0.74151046120556	-0.5490346763918	0.16419760965615	PDPK1;VAMP1
MORF_CUL1	2/71	0.19960284133456	0.74151046120556	-0.53177671733348	0.15903634071127	MDH1;EIF1AX
MORF_RAD51L3	6/392	0.29440996594636	0.74151046120556	-0.52782201040968	0.15785362229347	USP46;FNTB;ADCY3;IL16;MAP2K7;RBMS3
MODULE_179	7/474	0.30116383484425	0.74151046120556	-0.51807910781931	0.15493985129641	UGCG;BCL2L13;ASXL2;STRN;SOX6;SNX5;RPAP3
MODULE_72	5/311	0.28622825306491	0.74151046120556	-0.50800929793368	0.15192831343913	UGCG;CADM1;DHX9;COPB1;SNRPA1
MORF_CDC16	2/73	0.20786099152959	0.74151046120556	-0.46470388258217	0.13897713568728	SMARCC1;EIF1AX
MORF_UBE2I	4/238	0.29251629440751	0.74151046120556	-0.46092403302928	0.1378467111656	EBP;EIF1AX;RAF1;RHOA
MORF_UNG	2/76	0.22031389149051	0.74151046120556	-0.45656893716228	0.13654425002437	G3BP1;SNRPA1
GCM_CHUK	2/72	0.2037270509079	0.74151046120556	-0.44587944215198	0.13334738540981	SPTLC1;FOXN3
MORF_IL16	4/242	0.30270347555307	0.74151046120556	-0.42764367854826	0.12789368836164	FNTB;NF1;ADCY3;IL16
MORF_PDPK1	2/74	0.21200392481777	0.74151046120556	-0.41870384761153	0.12522008879924	PDPK1;VAMP1
MODULE_36	3/162	0.28621162767506	0.74151046120556	-0.3549528799936	0.10615434132237	DHRS12;NCOA2;CBL
MORF_PPP1CC	3/164	0.29238560410473	0.74151046120556	-0.34504640745721	0.10319165211431	SMARCC1;EIF1AX;TCEA1
MODULE_136	7/497	0.34334320280059	0.75899078849882	-0.33968110623624	0.09367237698639	DHRS12;UGCG;BCL2L13;ASXL2;STRN;SOX6;SNX5
MORF_FANCG	3/166	0.29856941157073	0.74151046120556	-0.30381938343251	0.0908620505624	SFSWAP;PLIN3;PAFAH1B1
MORF_PCNA	2/83	0.24958048077319	0.74151046120556	-0.28956751593381	0.08659980142396	G3BP1;SNRPA1
MODULE_159	2/81	0.24119735350689	0.74151046120556	-0.28369194382297	0.0848426175202	RIT1;RHOA
MORF_BMI1	2/80	0.23701090223564	0.74151046120556	-0.27459820394518	0.082122989025	TCEA1;ATP11B
MORF_ARAF1	2/78	0.22865134289919	0.74151046120556	-0.27349373356386	0.08179267947563	PDPK1;PLIN3
MORF_PRDX3	2/84	0.25377594919322	0.74151046120556	-0.27247145169737	0.0814869497174	MDH1;G3BP1
GNF2_STAT6	2/79	0.2328286863022	0.74151046120556	-0.25418243413916	0.07601732622157	MOB1A;PAK2
MORF_HDAC1	4/254	0.33348487773257	0.75446826298903	-0.26938994713243	0.07589848007393	EID1;MDH1;EIF1AX;TCEA1
GNF2_SMC4L1	2/84	0.25377594919322	0.74151046120556	-0.23688559370668	0.07084442917929	SMC2;TMPO
MORF_STK17A	3/171	0.31406028687891	0.74365570520031	-0.23657971105017	0.07006949583306	FNTB;NF1;ADCY3
GCM_MAP4K4	3/171	0.31406028687891	0.74365570520031	-0.21810458772283	0.0645975871421	USP46;KIAA1109;CEP350
MORF_PPP2R5B	3/175	0.3264710575979	0.75446826298903	-0.2096556021871	0.05906880236018	FNTB;ADCY3;IL16
MORF_PTEN	2/85	0.25797323737101	0.74151046120556	-0.17591834219277	0.05261119656878	FNTB;IL16
GNF2_RRM1	2/88	0.27057036578669	0.74151046120556	-0.16279720070782	0.04868710914693	SMC2;TMPO
MORF_BRCA1	4/264	0.35927063258303	0.76111192776263	-0.157294050212	0.04293732009124	FNTB;NF1;ADCY3;IL16
MORF_RAN	4/268	0.36959068496198	0.76111192776263	-0.10277481867583	0.0280549409266	EBP;MDH1;EIF1AX;TCEA1
MORF_BCL2L11	3/188	0.36675360918379	0.76111192776263	-0.05208526314672	0.01421796700354	USP46;FNTB;IL16
MORF_HDAC2	4/277	0.39277327099516	0.7751123943868	-0.02561979816004	0.00652657274582	MDH1;EIF1AX;G3BP1;TCEA1
MODULE_69	7/532	0.40875730207269	0.7751123943868	-0.01139080520337	0.00290177613145	DHRS12;UGCG;BCL2L13;ASXL2;STRN;SOX6;SNX5
MORF_PRKDC	3/190	0.37292591276956	0.76111192776263	0.00483058922149	-0.00131862937824	SMARCC1;EIF1AX;TCEA1
MODULE_99	1/361	0.98484586217991	0.9983826706019	1.87114509032829	-0.00302870783254	STRN
MODULE_27	1/356	0.98392618976723	0.9983826706019	1.8918491729983	-0.00306222026173	CD3D
MODULE_19	1/314	0.97366467269484	0.9983826706019	1.90859819939026	-0.00308933088382	CADM1
MODULE_94	1/374	0.98700003910762	0.9983826706019	1.9095089775958	-0.00309080510466	RBMS3
MODULE_38	1/465	0.99558109047795	0.9983826706019	1.92060931495734	-0.00310877254015	ADCY3
MODULE_60	1/425	0.99289037339592	0.9983826706019	1.92107374921893	-0.00310952429142	RBMS3
MODULE_45	2/583	0.99140584322138	0.9983826706019	1.94059115902129	-0.003141115926	CD3D;SKAP2
MODULE_117	2/731	0.99823823409125	0.9983826706019	1.94869104512692	-0.00315422671501	STRN;PLCD1
MODULE_24	1/453	0.99490241657289	0.9983826706019	1.95120147720803	-0.0031582901975	RBMS3
MODULE_118	1/410	0.99150669902808	0.9983826706019	1.96723115977882	-0.00318423646185	CD3D
MODULE_55	3/834	0.99681585395125	0.9983826706019	1.99946513227563	-0.00323641161677	CADM1;WWC1;RBMS3
MODULE_88	3/838	0.99694116460828	0.9983826706019	2.00434379038469	-0.00324430840153	CADM1;WWC1;RBMS3
MODULE_84	1/549	0.9983826706019	0.9983826706019	2.0049696240054	-0.00324532140004	CD3D
MORF_PSMC1	3/190	0.37292591276956	0.76111192776263	0.01278712252502	-0.00349056287992	SPTLC1;BAG5;GMFB
MODULE_5	2/434	0.96079854209291	0.98893003093797	1.8643753441506	-0.02075366169432	UGCG;CADM1
MODULE_23	3/565	0.95923506590255	0.98893003093797	1.87013696588377	-0.02081779832252	CDK6;CADM1;RBMS3
MODULE_52	2/433	0.96040999024251	0.98893003093797	1.90146934428174	-0.02116658086965	WEE1;STAU1
MORF_NOS2A	4/291	0.42858309052058	0.79296547517371	0.11003159743347	-0.02552464531385	FNTB;NF1;ADCY3;IL16
MODULE_112	1/260	0.95046916607303	0.98495330815277	1.92345081150664	-0.02916151820002	PPP3CA
MODULE_169	2/97	0.30828662500888	0.74151046120556	0.10162592583522	-0.03039286008472	CDK6;CD3D
MODULE_105	3/200	0.40360120259796	0.7751123943868	0.13646367545583	-0.03476374401787	STIP1;WEE1;S100A13
MORF_CASP2	2/103	0.33324123599257	0.75446826298903	0.12501006461625	-0.03522059378724	H6PD;PDPK1
MODULE_37	6/477	0.46626330505096	0.80129845646851	0.18277312396383	-0.04048823076948	DHRS12;UGCG;BCL2L13;ASXL2;SOX6;SNX5
MORF_PTPRR	2/103	0.33324123599257	0.75446826298903	0.15193207526588	-0.04280565666947	USP46;MAP2K7
MORF_RAB5A	2/97	0.30828662500888	0.74151046120556	0.14595564295786	-0.04365037167963	BAG5;GMFB
MORF_GNB1	4/303	0.45886189318075	0.80129845646851	0.20029103456235	-0.04436882979591	SMARCC1;MDH1;EIF1AX;TCEA1
MODULE_64	3/518	0.93864572842183	0.97491158611086	1.82877887024445	-0.04646651513777	VAMP1;CD3D;LAT
MODULE_182	2/101	0.32494729785962	0.75446826298903	0.17091629793296	-0.04815431077165	PTPN11;BRAF
MORF_MLLT10	4/305	0.46385987426087	0.80129845646851	0.22131387727767	-0.04902584768141	USP46;FNTB;ADCY3;IL16
MODULE_16	3/511	0.93486872402481	0.97320047125134	1.86755206068087	-0.05073239506704	WEE1;SNRPA1;LSM4
MODULE_97	2/99	0.31662802742113	0.74587117799719	0.17965954132455	-0.05267660462813	PTPN11;BRAF
MORF_ARL3	4/307	0.46884231446742	0.80129845646851	0.24773712634096	-0.05487917328286	FNTB;NF1;ADCY3;IL16
MORF_RAC1	3/211	0.43685013803158	0.79605235758473	0.25576095726249	-0.05833659844246	GMFB;MDH1;RAF1
MODULE_176	1/230	0.92975160484115	0.97008329546211	1.94492045342153	-0.05907372935098	PPP3CA
MORF_FDXR	1/226	0.92640702182069	0.96880551252186	1.91036865486128	-0.06054225089968	SFSWAP
MODULE_147	2/107	0.34974107144347	0.76072291752276	0.23520850003383	-0.06432625313742	EID1;LIMCH1
MODULE_12	2/360	0.91980805232188	0.96449000846176	1.81244192546928	-0.06553029861301	CADM1;MBP
MODULE_15	2/358	0.91827696748938	0.96449000846176	1.81371655085477	-0.06557638372115	CDK6;LSM4
GNF2_HDAC1	2/110	0.36202784075613	0.76111192776263	0.24305907843923	-0.06634901598605	RBM15;ZNF207
MORF_PRKACA	2/111	0.36610488946695	0.76111192776263	0.24510820932949	-0.06690837718773	FNTB;NF1
MODULE_129	1/219	0.92016989866374	0.96449000846176	1.97530871082235	-0.07141887850534	CD3D
