source	interaction_type	target
RBBP7	bn	NUP88
RBBP7	bn	ZNF3
RBBP7	bn	SNRPA1
RBBP7	bn	TIMM21
RPS29	bn	RPS21
RPS29	bn	CD52
LGALS1	bn	THOC6
THBS1	bn	TGFB1I1
THBS1	bn	LIPH
POLD2	bn	PAR-SN
POLD2	bn	DEXI
POLD2	bn	C16orf88
POLD2	bn	FARSB
POLD2	bn	GPATCH4
POLD2	bn	SLC25A23
POLD2	bn	FAM213B
PGD	bn	PLIN3
PGD	bn	DACH1
PGRMC1	bn	MMD
PGRMC1	bn	TPM4
PJA2	bn	HIF1A
PJA2	bn	ZFAND5
PJA2	bn	TOR1AIP1
PJA2	bn	B3GNT2
ECHS1	bn	NAGPA
ECHS1	bn	C20orf4
ECHS1	bn	AVPI1
ECHS1	bn	TMEM229B
ECHS1	bn	DNPEP
ECHS1	bn	PAOX
SSB	bn	EBNA1BP2
SSB	bn	GNL2
SSB	bn	METTL5
SSB	bn	C6orf203
SSB	bn	GATC
NFE2L2	bn	LOC100129518
NFE2L2	bn	TET3
MBNL1	bn	ASNSD1
MBNL1	bn	RCOR3
MBNL1	bn	SESN3
MBNL1	bn	FAM204A
CSDA	bn	FGFR1
PUM1	bn	ETV3
UBA2	bn	MINA
UBA2	bn	TMA16
UBA2	bn	NUP35
UBA2	bn	DNAJC21
GNAI3	bn	RFWD2
GNAI3	bn	MOB1A
GNAI3	bn	DPH3
ITPR3	bn	IL18
IDH1	bn	ATP6AP2
IDH1	bn	KIN
IDH1	bn	P4HA1
IDH1	bn	SMG8
PCNA	bn	MCM4
PCNA	bn	UBFD1
SNRNP70	bn	ACAP3
SNRNP70	bn	C16orf55
RAD23B	bn	FKBP1A
RAD23B	bn	XRN2
NDUFB8	bn	ICT1
NDUFB8	bn	NDUFA9
NDUFB8	bn	ATP5G1
NDUFB8	bn	BOLA2
NDUFB8	bn	OAZ3
NDUFB8	bn	MRPL23
NDUFB8	bn	MRPS7
NDUFB8	bn	NDUFA8
NDUFB8	bn	TRAPPC2L
CAPZA2	bn	TAF13
DDX1	bn	IDE
DDX1	bn	PLA2G7
DDX1	bn	EED
DDX1	bn	MPHOSPH10
DDX1	bn	TIMM17A
DDX1	bn	TYW3
ATP1B1	bn	NME7
COX7A2L	bn	ARPP19
NME1-NME2	bn	NHP2L1
NME1-NME2	bn	NDUFB8
NME1-NME2	bn	CRIP1
AKR1B1	bn	ABCF2
SRP9	bn	NDUFA5
SRP9	bn	VBP1
SRP9	bn	OTUD6B
SRP9	bn	HMGB1
TOP2A	bn	NUSAP1
TOP2A	bn	DTL
MOB1A	bn	IGSF10
MOB1A	bn	SRBD1
MOB1A	bn	PATL1
PRNP	bn	PHLDA1
NDUFA5	bn	LOC647859
NDUFA5	bn	OCLN
ENO2	bn	ZNF232
ENO2	bn	ZSWIM5
PSMA2	bn	GTF2H5
PSMA2	bn	RBX1
PSMA2	bn	DPY30
SMARCC2	bn	UBTF
EBNA1BP2	bn	DTYMK
EBNA1BP2	bn	PCCA
EBNA1BP2	bn	NIT2
CCT6A	bn	DDX18
CCT6A	bn	YARS2
CCT6A	bn	TSR1
CCT6A	bn	MCPH1
BAZ2A	bn	PRRG4
BAZ2A	bn	RNASEL
BAZ2A	bn	PRKCE
CST3	bn	EPHB2
CST3	bn	ARHGEF10L
