source	target
ASCL1	INSM1
ASCL1	KCNH2
ASCL1	KIF5C
ASCL1	KLK12
ASCL1	MYCL1
ASCL1	MYCN
ASCL1	NOL4
ASCL1	NRXN3
ASCL1	PCP4
ASCL1	PCSK1
ASCL1	PTP4A3
ASCL1	RET
ASCL1	RGS7
ASCL1	SCN3A
ASCL1	SST
ASCL1	TUBB2B
ASF1A	BCKDHB
ASF1A	HDDC2
ASF1A	LYRM2
ASF1A	MTO1
ASF1B	CDCA8
ASF1B	RNASEH2A
ASF1B	TK1
ASF1B	ZNF93
ASGR2	AHSG
ASGR2	ASGR1
ASGR2	F2
ASGR2	HIST1H2AI
ASGR2	SERPINC1
ASNA1	CDK5
ASNA1	CLPP
ASNA1	LSM4
ASNA1	MRPL34
ASNS	YARS
ASPM	DLGAP5
ASPM	DTL
ASPM	HJURP
ASPM	KIF14
ASPM	KNTC1
ASPM	TOP2A
ASPN	AI278204
ASPSCR1	DCXR
ASPSCR1	PYCR1
ASPSCR1	TBCD
ATAD2	CCNE2
ATAD2	EIF2C2
ATAD2	RAD54B
ATAD2	WDR67
ATAD2	WDYHV1
ATAD2B	NCOA1
ATAD2B	PHF16
ATAD2B	WDR33
ATAD4	ATP1A1
ATAD4	GOLSYN
ATAD4	PACSIN2
ATAD4	PPFIBP2
ATAD4	TMPRSS2
ATF1	SFRS2IP
ATF1	UBE2N
ATF2	ACSL3
ATF2	ASNSD1
ATF2	BBS10
ATF2	C1D
ATF2	DDX18
ATF2	KIAA0240
ATF2	MAP4K4
ATF2	PIKFYVE
ATF2	PRPF40A
ATF2	TLK1
ATF2	ZNF518A
ATF3	CCNL1
ATF3	DUSP2
ATF3	HBEGF
ATF3	JUND
ATF3	NR4A1
ATF3	RGS16
ATF4	GDE1
ATF5	APOL2
ATG12	AP3S1
ATG12	CSNK1G3
ATG2B	TRIP11
ATG2B	TTC33
ATG2B	UBR7
ATG2B	ZC3H7A
ATG3	CLDND1
ATG3	KAT2A
ATG3	MBD4
ATG3	RAB7A
ATG3	SLC35A5
ATG4A	ARMCX3
ATG5	EXOC1
ATG5	MED23
ATIC	CDC123
ATIC	DTYMK
ATIC	IMP4
ATIC	SCLY
ATMIN	FBXO3
ATMIN	ZCCHC14
ATP10D	PFTK1
ATP10D	PLSCR4
ATP11B	ACAP2
ATP11B	DLG1
ATP11B	WWTR1
ATP13A2	ALDH4A1
ATP1B3	TFRC
ATP2A2	IFT81
ATP2A3	CERK
ATP2A3	GRK5
ATP2C1	OPA1
ATP2C1	OSBPL11
ATP2C1	POT1
ATP5A1	ACAA2
ATP5A1	NARS
ATP5A1	NEDD4L
ATP5A1	PDHB
ATP5B	AHR
ATP5B	CNPY2
ATP5B	CS
ATP5B	PTGES3
ATP5C1	IDI1
ATP5C1	MDH1
ATP5C1	PITRM1
ATP5D	AES
ATP5F1	BXDC5
ATP5F1	DNTTIP2
ATP5F1	PSMA5
ATP5F1	RPL5
ATP5F1	SARS
ATP5F1	WDR77
ATP5G1	TIMM8B
ATP5G2	BLOC1S1
ATP5G2	COPZ1
ATP5G2	RPS26
ATP5G3	ATP5B
ATP5G3	SDHB
ATP5I	NOP14
ATP5I	TCEB2
ATP5I	TNIP2
ATP5J	C21orf59
ATP5J	PIGP
ATP5J2	BUD31
ATP5J2	CDK5
ATP5J2	CHCHD3
ATP5J2	COPS6
ATP5J2	MRPS33
ATP5J2	OR7E37P
ATP5J2	ORC5L
ATP5J2	POP7
ATP5J2	SHFM1
ATP5J2	SLC25A13
ATP5J2	SSBP1
ATP5L	RPS25
ATP5S	CHMP4A
ATP5SL	C19orf54
ATP5SL	FBXO46
ATP5SL	HNRNPUL1
ATP6AP2	DYNLT3
ATP6AP2	PPRC1
ATP6AP2	RAB9A
ATP6V0D1	ATP6AP1
ATP6V0D1	NFATC3
ATP6V0E1	RNF130
ATP6V1A	BAT2D1
ATP6V1B2	CALM1
ATP6V1C1	AZIN1
ATP6V1C1	C6orf120
ATP6V1C1	MTDH
ATP6V1E1	COMT
ATP7A	MYO1B
ATP7A	TCEAL4
ATP7A	ZNF673
ATP8B1	N35922
ATP9A	EPB41L1
ATP9B	ZCCHC2
ATR	DNAJC13
ATR	MBD4
ATR	PIK3CB
ATR	RCN1
ATR	SLC33A1
ATRN	FASTKD5
ATRN	MAVS
ATRN	SOX12
ATRX	BPTF
ATRX	CEP57
ATRX	LOC100170939
ATRX	NARG1
ATRX	PPP1R9A
ATRX	SMC5
ATRX	SON
ATRX	SPEN
ATRX	STAG2
ATRX	THOC2
ATRX	W86781
ATRX	WASL
ATRX	WSB1
ATXN2	GOLGA3
ATXN3	TRIP11
ATXN7	C3orf63
ATXN7	TRAPPC10
ATXN7	USP4
AU146646	RAB38
AU146791	AAK1
AU146791	AK022170
AU146983	SAMD4A
AU147528	AL049991
AUH	C9orf95
AUH	CDC14B
AURKA	C20orf20
AURKA	PFDN4
AURKA	RAE1
AURKAIP1	DFFA
AURKAIP1	GLTPD1
AURKAIP1	LYPLA2
AURKAIP1	RER1
AURKAIP1	ZNF593
AURKB	CBS
AURKB	CDT1
AURKB	ESPL1
AURKB	FAM64A
AURKB	MYBL2
AURKB	PGAM1
AUTS2	AU148161
AUTS2	KANK2
AV682285	CCNT2
AV682285	CD177
AV682285	CELP
AV682285	CIDEB
AV682285	GLT8D1
AV682285	MORC3
AV682285	PHF20
AV682285	PPM1B
AV682285	RAP2C
AV682285	SGMS1
AV682285	SPAST
AV682285	STAM2
AV682285	TANK
AV682285	ZNF200
AV700891	IRS2
AV720803	C6
AV720803	LRRC50
AV720803	PIP
AV720803	SPAG6
AV720803	TSPAN1
AV755522	CASP8AP2
AV755522	FEZ2
AV761453	AU146791
AV761453	DND1
AV761453	RAPGEF6
AV761453	SRRM2
AV761453	U43604
AVL9	CDC2L5
AVL9	TMEM106B
AVPI1	C19orf21
AVPI1	FSTL3
AVPI1	INSL4
AVPI1	MSLN
AW025579	THSD7A
AW150065	AK024108
AW150065	AK024136
AW150065	NFATC2IP
AW150065	ZNF224
AW150065	ZNF44
AW150065	ZNF652
AW574933	MFNG
AW582267	RPL35
AW612311	C17orf91
AW612311	CRK
AW612311	GLOD4
AW814026	AK024988
AW814026	SFRS6
AW971415	ITSN2
AW971415	KAT2B
